ProductGroupID;ProductGroupDescription;BooksEcobookstoreDescription;BooksFairnopolyID;BooksFairnopolyDescription;BooksGoogleDescription
390;Reise/Kartenzubehör, Sonstiges;Ratgeber & Reiseführer;184;Bücher/Reise;Medien > Bücher > Sachliteratur > Nachschlagewerke
400;Sachbuch, Ratgeber;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Nachschlagewerke
410;Sachbuch, Ratgeber/Nachschlagewerke;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Nachschlagewerke 
411;Sachbuch, Ratgeber/Nachschlagewerke/Lexika;Ratgeber & Reiseführer;264;Bücher/Sachbücher/Wörterbücher & Lexika;Medien > Bücher > Sachliteratur > Nachschlagewerke
412;Sachbuch, Ratgeber/Deutsche Wörterbücher/Regelwerke;Ratgeber & Reiseführer;264;Bücher/Sachbücher/Wörterbücher & Lexika;Medien > Bücher > Sachliteratur > Sprach- & Linguistikbücher
413;Sachbuch, Ratgeber/Fremdsprachige Wörterbücher;Ratgeber & Reiseführer;264;Bücher/Sachbücher/Wörterbücher & Lexika;Medien > Bücher > Sachliteratur > Sprach- & Linguistikbücher 
414;Sachbuch, Ratgeber/Sprachführer;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Sprach- & Linguistikbücher 
415;Sachbuch, Ratgeber/Nachschlagewerke/Telefonbücher, Kursbücher;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Nachschlagewerke
419;Sachbuch, Ratgeber/Nachschlagewerke/Sonstiges;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Nachschlagewerke
420;Sachbuch, Ratgeber/Hobby, Freizeit, Natur;Ratgeber & Reiseführer;185;Bücher/Freizeit, Hobby, Natur;Medien > Bücher > Sachliteratur > Bücher zu Handwerk, Hobby & Beschäftigung 
421;Sachbuch, Ratgeber/Hobby, Freizeit, Natur/Basteln, Handarbeiten;Ratgeber & Reiseführer;242;Bücher/Freizeit, Hobby, Natur/Basteln & Handarbeiten;Medien > Bücher > Sachliteratur > Bücher zu Handwerk, Hobby & Beschäftigung 
422;Sachbuch, Ratgeber/Hobby, Freizeit, Natur/Heimwerken, Do it yourself;Ratgeber & Reiseführer;244;Bücher/Freizeit, Hobby, Natur/Heimwerken;Medien > Bücher > Sachliteratur > Bücher zu Handwerk, Hobby & Beschäftigung
423;Sachbuch, Ratgeber/Hobby, Freizeit, Natur/Malen, Zeichnen;Ratgeber & Reiseführer;185;Bücher/Freizeit, Hobby, Natur;Medien > Bücher > Sachliteratur > Bücher zu Handwerk, Hobby & Beschäftigung
424;Sachbuch, Ratgeber/Hobby, Freizeit, Natur/Fotografieren, Filmen, Videofilmen;Ratgeber & Reiseführer;187;Bücher/Film, Kunst & Kultur;Medien > Bücher > Sachliteratur > Fotografiebücher
425;Sachbuch, Ratgeber/Hobby, Freizeit, Natur/Spielen, Raten;Ratgeber & Reiseführer;185;Bücher/Freizeit, Hobby, Natur;Medien > Bücher > Sachliteratur > Spielbücher 
426;Sachbuch, Ratgeber/Hobby, Freizeit, Natur/Sammlerkataloge, Antiquitäten;Ratgeber & Reiseführer;185;Bücher/Freizeit, Hobby, Natur;Medien > Bücher > Sachliteratur > Bücher zu Handwerk, Hobby & Beschäftigung 
427;Sachbuch, Ratgeber/Hobby, Freizeit, Natur/Garten, Pflanzen, Natur;Ratgeber & Reiseführer;243;Bücher/Freizeit, Hobby, Natur/Garten & Natur;Medien > Bücher > Sachliteratur > Tier- & Naturbücher
428;Sachbuch, Ratgeber/Hobby, Freizeit, Natur/Tiere, Jagen, Angeln;Ratgeber & Reiseführer;246;Bücher/Freizeit, Hobby, Natur/Tierhaltung;Medien > Bücher > Sachliteratur > Tier- & Naturbücher
429;Sachbuch, Ratgeber/Hobby, Freizeit, Natur/Sonstiges;Ratgeber & Reiseführer;185;Bücher/Freizeit, Hobby, Natur;Medien > Bücher > Sachliteratur
430;Sachbuch, Ratgeber/Fahrzeuge, Flugzeuge, Schiffe;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Bücher zum Verkehrswesen 
431;Sachbuch, Ratgeber/Fahrzeuge, Flugzeuge, Schiffe/Allgemein;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Bücher zum Verkehrswesen
432;Sachbuch, Ratgeber/Fahrzeuge, Flugzeuge, Schiffe/Auto, Motorrad, Moped;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Bücher zum Verkehrswesen
433;Sachbuch, Ratgeber/Fahrzeuge, Flugzeuge, Schiffe/Fahrrad;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Bücher zum Verkehrswesen
434;Sachbuch, Ratgeber/Fahrzeuge, Flugzeuge, Schiffe/Nutzfahrzeuge;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Bücher zum Verkehrswesen
435;Sachbuch, Ratgeber/Fahrzeuge, Flugzeuge, Schiffe/Schienenfahrzeuge;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Bücher zum Verkehrswesen 
436;Sachbuch, Ratgeber/Fahrzeuge, Flugzeuge, Schiffe/Schiffe;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Bücher zum Verkehrswesen
437;Sachbuch, Ratgeber/Fahrzeuge, Flugzeuge, Schiffe/Flugzeuge;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Bücher zum Verkehrswesen
438;Sachbuch, Ratgeber/Fahrzeuge, Flugzeuge, Schiffe/Militärfahrzeuge, Militärflugzeuge, Militärschiffe;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Bücher zum Verkehrswesen 
439;Sachbuch, Ratgeber/Fahrzeuge, Flugzeuge, Schiffe/Modellbau;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Bücher zum Verkehrswesen
440;Sachbuch, Ratgeber/Sport;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Sportbücher
441;Sachbuch, Ratgeber/Sport/Lexika/Allgemein, Lexika, Handbücher;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Sportbücher 
442;Sachbuch, Ratgeber/Sport/Auto-, Motorrad-, Rad-, Flugsport;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Sportbücher 
443;Sachbuch, Ratgeber/Sport/Wassersport, Segeln;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Sportbücher
444;Sachbuch, Ratgeber/Sport/Wintersport;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Sportbücher
445;Sachbuch, Ratgeber/Sport/Ballsport;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Sportbücher 
446;Sachbuch, Ratgeber/Sport/Leichtathletik, Turnen;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Sportbücher
447;Sachbuch, Ratgeber/Sport/Kampfsport, Selbstverteidigung;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Sportbücher 
448;Sachbuch, Ratgeber/Sport/Pferdesport;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Sportbücher
449;Sachbuch, Ratgeber/Sport/Sonstige Sportarten;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Sportbücher
450;Sachbuch, Ratgeber/Essen, Trinken;Ernährung & Diät;266;Bücher/Ratgeber/Ernährung & Diät;Medien > Bücher > Sachliteratur > Kochbücher 
451;Sachbuch, Ratgeber/Essen, Trinken/Allgemein, Lexika;Ernährung & Diät;266;Bücher/Ratgeber/Ernährung & Diät;Medien > Bücher > Sachliteratur > Kochbücher 
452;Sachbuch, Ratgeber/Essen, Trinken/Ernährungswissenschaft, Lebensmittelkunde;Ernährung & Diät;266;Bücher/Ratgeber/Ernährung & Diät;Medien > Bücher > Sachliteratur > Kochbücher 
453;Sachbuch, Ratgeber/Essen, Trinken/Kochbücher, Grundkochbücher;Ernährung & Diät;266;Bücher/Ratgeber/Ernährung & Diät;Medien > Bücher > Sachliteratur > Kochbücher
454;Sachbuch, Ratgeber/Essen, Trinken/Länderküchen, Regionalküchen;Ernährung & Diät;266;Bücher/Ratgeber/Ernährung & Diät;Medien > Bücher > Sachliteratur > Kochbücher
455;Sachbuch, Ratgeber/Essen, Trinken/Themenkochbücher;Ernährung & Diät;266;Bücher/Ratgeber/Ernährung & Diät;Medien > Bücher > Sachliteratur > Kochbücher
456;Sachbuch, Ratgeber/Essen, Trinken/Gesunde Küche, Schlanke Küche;Ernährung & Diät;266;Bücher/Ratgeber/Ernährung & Diät;Medien > Bücher > Sachliteratur > Kochbücher 
457;Sachbuch, Ratgeber/Essen, Trinken/Backen;Ernährung & Diät;266;Bücher/Ratgeber/Ernährung & Diät;Medien > Bücher > Sachliteratur > Kochbücher
458;Sachbuch, Ratgeber/Essen, Trinken/Getränke;Ernährung & Diät;266;Bücher/Ratgeber/Ernährung & Diät;Medien > Bücher > Sachliteratur > Kochbücher 
459;Sachbuch, Ratgeber/Essen, Trinken/Sonstiges;Ernährung & Diät;266;Bücher/Ratgeber/Ernährung & Diät;Medien > Bücher > Sachliteratur > Kochbücher
460;Sachbuch, Ratgeber/Gesundheit, Körperpflege;Ratgeber & Reiseführer;268;Bücher/Ratgeber/Gesundheit;Medien > Bücher > Sachliteratur > Gesundheits- & Fitnessbücher
461;Sachbuch, Ratgeber/Gesundheit, Körperpflege/Allgemein, Lexika;Ratgeber & Reiseführer;268;Bücher/Ratgeber/Gesundheit;Medien > Bücher > Sachliteratur > Gesundheits- & Fitnessbücher
462;Sachbuch, Ratgeber/Gesundheit, Körperpflege/Ratgeber;Ratgeber & Reiseführer;268;Bücher/Ratgeber/Gesundheit;Medien > Bücher > Sachliteratur > Gesundheits- & Fitnessbücher
463;Sachbuch, Ratgeber/Gesundheit, Körperpflege/Gesunde Ernährung;Ratgeber & Reiseführer;268;Bücher/Ratgeber/Gesundheit;Medien > Bücher > Sachliteratur > Gesundheits- & Fitnessbücher
464;Sachbuch, Ratgeber/Gesundheit, Körperpflege/Fitness, Aerobic, Bodybuilding, Gymnastik;Ratgeber & Reiseführer;268;Bücher/Ratgeber/Gesundheit;Medien > Bücher > Sachliteratur > Gesundheits- & Fitnessbücher
465;Sachbuch, Ratgeber/Gesundheit, Körperpflege/Entspannung, Yoga, Meditation, Autogenes Training;Ratgeber & Reiseführer;268;Bücher/Ratgeber/Gesundheit;Medien > Bücher > Sachliteratur > Gesundheits- & Fitnessbücher 
466;Sachbuch, Ratgeber/Gesundheit, Körperpflege/Schönheit, Kosmetik;Ratgeber & Reiseführer;268;Bücher/Ratgeber/Gesundheit;Medien > Bücher > Sachliteratur > Gesundheits- & Fitnessbücher 
469;Sachbuch, Ratgeber/Gesundheit, Körperpflege/Sonstiges;Ratgeber & Reiseführer;268;Bücher/Ratgeber/Gesundheit;Medien > Bücher > Sachliteratur > Gesundheits- & Fitnessbücher
470;Sachbuch, Ratgeber/Esoterik, Anthroposophie/Allgemein;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Bücher zu Körper, Geist & Seele 
471;Sachbuch, Ratgeber/Esoterik, Anthroposophie;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Bücher zu Körper, Geist & Seele
472;Sachbuch, Ratgeber/Esoterik, Anthroposophie/Esoterik;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Bücher zu Körper, Geist & Seele
473;Sachbuch, Ratgeber/Esoterik, Anthroposophie/Astrologie;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Bücher zu Körper, Geist & Seele
474;Sachbuch, Ratgeber/Esoterik, Anthroposophie/Tarot, Lebensdeutung, Orakel;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Bücher zu Körper, Geist & Seele
475;Sachbuch, Ratgeber/Esoterik, Anthroposophie/Grenzwissenschaften;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Bücher zu Körper, Geist & Seele
478;Sachbuch, Ratgeber/Esoterik, Anthroposophie/Anthroposophie;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Bücher zu Körper, Geist & Seele
479;Sachbuch, Ratgeber/Esoterik, Anthroposophie/Sonstiges;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Bücher zu Körper, Geist & Seele 
480;Sachbuch, Ratgeber/Ratgeber;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Selbsthilfebücher
481;Sachbuch, Ratgeber/Ratgeber/Lebensführung;Ratgeber & Reiseführer;269;Bücher/Ratgeber/Lebenshilfe;Medien > Bücher > Sachliteratur > Selbsthilfebücher
482;Sachbuch, Ratgeber/Ratgeber;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Selbsthilfebücher
483;Sachbuch, Ratgeber/Ratgeber/Partnerschaft, Beziehungen;Ratgeber & Reiseführer;272;Bücher/Ratgeber/Partnerschaft;Medien > Bücher > Sachliteratur > Selbsthilfebücher
485;Sachbuch, Ratgeber/Ratgeber/Praktische Tipps;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Bücher zu Körper, Geist & Seele 
